From Station,To Station,Coordenadas 1,Coordenadas 2,Distancia
moschato,nikea,"(37.95528, 23.68056)","(37.966666, 23.633333)",4.329616590897273
moschato,korydallos,"(37.95528, 23.68056)","(37.9789, 23.6405)",4.385259604801564
moschato,aghia varvara,"(37.95528, 23.68056)","(37.989722, 23.659444)",4.25360994382027
moschato,aghia marina,"(37.95528, 23.68056)","(37.9972, 23.6674)",4.801899459684005
moschato,egaleo,"(37.95528, 23.68056)","(37.9913, 23.6772)",4.016060755599349
moschato,eleonas,"(37.95528, 23.68056)","(37.9878, 23.6925)",3.7644839844524594
moschato,kerameikos,"(37.95528, 23.68056)","(37.9786, 23.7115)",3.7523915837664816
moschato,evangelismos,"(37.95528, 23.68056)","(37.976388, 23.746944)",6.274959740008821
moschato,megaro moussikis,"(37.95528, 23.68056)","(37.97861, 23.7525)",6.819154640588822
moschato,ambelokipi,"(37.95528, 23.68056)","(37.98722, 23.7575)",7.622329051432287
moschato,panormou,"(37.95528, 23.68056)","(37.9931, 23.7637)",8.413887033063046
moschato,katehaki,"(37.95528, 23.68056)","(37.9954, 23.7727)",9.226498478559584
moschato,ethniki amyna,"(37.95528, 23.68056)","(38.0, 23.785555)",10.460315173144188
moschato,holargos,"(37.95528, 23.68056)","(38.001666, 23.812222)",12.640225842060495
moschato,nomismatokopio,"(37.95528, 23.68056)","(38.00917, 23.80583)",12.508001847607584
moschato,aghia paraskevi,"(37.95528, 23.68056)","(38.017222, 23.8125)",13.459037707120405
moschato,halandri,"(37.95528, 23.68056)","(38.02167, 23.82083)",14.339117757667422
moschato,douk. plakentias,"(37.95528, 23.68056)","(38.023361, 23.833055)",15.359215137187077
moschato,pallini,"(37.95528, 23.68056)","(38.00528, 23.86972)",17.486590214164053
moschato,peania - kantza,"(37.95528, 23.68056)","(37.98417, 23.87)",16.913997923451987
moschato,koropi,"(37.95528, 23.68056)","(37.91278, 23.89583)",19.462013760469095
moschato,airport,"(37.95528, 23.68056)","(37.9369, 23.9448)",23.26044344438387
kallithea,tavros,"(37.96056, 23.69722)","(37.9625, 23.70333)",0.5774622210583659
kallithea,petralona,"(37.96056, 23.69722)","(37.96861, 23.70917)",1.3779350132514632
kallithea,thissio,"(37.96056, 23.69722)","(37.97721, 23.71954)",2.693669039647833
kallithea,monastiraki,"(37.96056, 23.69722)","(37.972281, 23.721902)",2.5259115211992462
kallithea,omonia,"(37.96056, 23.69722)","(37.983787, 23.723607)",3.4670412034733196
kallithea,victoria,"(37.96056, 23.69722)","(37.993056, 23.730556)",4.6469611805437285
kallithea,attiki,"(37.96056, 23.69722)","(37.993096, 23.753713)",6.132501691593334
kallithea,aghios nikolaos,"(37.96056, 23.69722)","(38.0069, 23.7277)",5.804066913982574
kallithea,kato patissia,"(37.96056, 23.69722)","(38.011944, 23.728611)",6.34147061404161
kallithea,aghios eleftherios,"(37.96056, 23.69722)","(38.019722, 23.731667)",7.238082141931922
kallithea,ano patissia,"(37.96056, 23.69722)","(38.020949, 23.734997)",7.486682220657841
kallithea,perissos,"(37.96056, 23.69722)","(38.032778, 23.744722)",9.044971298501547
kallithea,pefkakia,"(37.96056, 23.69722)","(38.036944, 23.75)",9.671033240435914
kallithea,nea ionia,"(37.96056, 23.69722)","(38.041528, 23.755)",10.329090928540436
kallithea,iraklio,"(37.96056, 23.69722)","(38.0463, 23.7662)",11.288218173222694
kallithea,irini,"(37.96056, 23.69722)","(38.0432, 23.7834)",11.893717482164414
kallithea,neratziotissa,"(37.96056, 23.69722)","(38.040333, 23.788996)",11.972935681865577
kallithea,maroussi,"(37.96056, 23.69722)","(38.0562, 23.805)",14.222005480895657
kallithea,kat,"(37.96056, 23.69722)","(38.0648, 23.8095)",15.202280017430722
kallithea,kifissia,"(37.96056, 23.69722)","(38.0737, 23.8083)",15.904769963482872
kallithea,anthoupoli,"(37.96056, 23.69722)","(38.016944, 23.691667)",6.288481583458061
kallithea,peristeri,"(37.96056, 23.69722)","(38.012981, 23.695731)",5.830417816259978
kallithea,aghios antonios,"(37.96056, 23.69722)","(38.006111, 23.699722)",5.069791599760079
kallithea,sepolia,"(37.96056, 23.69722)","(38.002786, 23.713583)",4.909459936864923
kallithea,larissa st.,"(37.96056, 23.69722)","(37.992289, 23.720556)",4.0781511245912
kallithea,metaxourghio,"(37.96056, 23.69722)","(37.9858, 23.721)",3.495950343582354
kallithea,panepistimio,"(37.96056, 23.69722)","(37.980278, 23.733056)",3.830815793050467
kallithea,syntagma,"(37.96056, 23.69722)","(37.97499, 23.73556)",3.724308159858476
kallithea,akropoli,"(37.96056, 23.69722)","(37.96875, 23.729583)",2.979685635314613
kallithea,sygroy - fix,"(37.96056, 23.69722)","(37.964605, 23.7268)",2.6319256359409984
